,close,MA_Short,MA_Long,MA_True,MA_Cross
0,3808,3808.0,3808.0,1,0
1,3818,3814.0,3813.5,1,0
2,3810,3812.10526316,3812.09302326,1,0
3,3804,3808.73846154,3809.42673267,-1,-1
4,3793,3802.69668246,3804.71106449,-1,0
5,3799,3801.34586466,3803.22770377,-1,0
6,3805,3802.63963089,3803.65475597,-1,0
7,3804,3803.11149881,3803.73330065,-1,0
8,3809,3805.12675395,3804.87915012,1,1
9,3807,3805.76218871,3805.32464771,1,0
10,3804,3805.16792215,3805.05403875,1,0
11,3800,3803.43190132,3804.04425106,-1,-1
12,3799,3801.94697096,3803.05421968,-1,0
13,3793,3798.95439628,3801.10899607,-1,0
14,3799,3798.96963231,3800.70566245,-1,0
15,3802,3799.98129507,3800.9508857,-1,0
16,3800,3799.98753638,3800.77209832,-1,0
17,3803,3800.99237083,3801.18841003,-1,0
18,3798,3799.99446374,3800.59560555,-1,0
19,3788,3795.99510644,3798.26334783,-1,0
20,3785,3792.32933602,3795.81563858,-1,0
21,3777,3787.2188743,3792.35272069,-1,0
22,3778,3784.14564236,3789.7170473,-1,0
23,3781,3783.09703262,3788.11918962,-1,0
24,3785,3783.7313802,3787.54828145,-1,0
25,3786,3784.48760676,3787.26524131,-1,0
26,3779,3782.65837231,3785.75577489,-1,0
27,3781,3782.10557506,3784.88793911,-1,0
28,3778,3780.73703933,3783.63185694,-1,0
29,3774,3778.49134784,3781.87634542,-1,0
30,3793,3783.32758204,3783.90285611,-1,0
31,3791,3785.88506062,3785.19534786,1,1
32,3797,3789.59004614,3787.3445079,1,0
33,3788,3789.06003021,3787.46381817,1,0
34,3791,3789.70668725,3788.10733352,1,0
35,3791,3790.1377917,3788.63365645,1,0
36,3790,3790.09186112,3788.88223077,1,0
37,3788,3789.39457394,3788.72174688,1,0
38,3786,3788.26304914,3788.2266862,1,0
39,3780,3785.50869918,3786.73043643,-1,-1
40,3785,3785.33913277,3786.41572753,-1,0
41,3791,3787.22608859,3787.24941388,-1,0
42,3790,3788.15072575,3787.74960992,1,1
43,3787,3787.76715049,3787.61329725,1,0
44,3789,3788.17810033,3787.86545522,1,0
45,3788,3788.11873356,3787.8899203,1,0
46,3789,3788.41248904,3788.09176916,1,0
47,3785,3787.27499269,3787.52959244,-1,-1
48,3787,3787.18332846,3787.43329774,-1,0
49,3785,3786.4555523,3786.99086054,-1,0
50,3783,3785.30370154,3786.26522347,-1,0
51,3787,3785.86913436,3786.39882313,-1,0
52,3784,3785.24608957,3785.96266298,-1,0
53,3782,3784.16405971,3785.24216463,-1,0
54,3786,3784.77603981,3785.3799551,-1,0
55,3787,3785.51735987,3785.67451259,-1,0
56,3786,3785.67823992,3785.73369276,-1,0
57,3783,3784.78549328,3785.23665333,-1,0
58,3784,3784.52366218,3785.01180565,-1,0
59,3777,3782.01577479,3783.55510512,-1,0
60,3784,3782.67718319,3783.63599548,-1,0
61,3788,3784.45145546,3784.42945399,1,1
62,3787,3785.30097031,3784.8968275,1,0
63,3789,3786.53398021,3785.64286084,1,0
64,3792,3788.3559868,3786.79870682,1,0
65,3790,3788.9039912,3787.38076116,1,0
66,3792,3789.93599413,3788.22062398,1,0
67,3794,3791.29066276,3789.27142087,1,0
68,3790,3790.86044184,3789.40388993,1,0
69,3787,3789.57362789,3788.96681869,1,0
70,3787,3788.71575193,3788.60921506,1,0
71,3778,3785.14383462,3786.68026584,-1,-1
72,3782,3784.09588975,3785.82930804,-1,0
73,3783,3783.73059316,3785.31488822,-1,0
74,3783,3783.48706211,3784.89399933,-1,0
75,3781,3782.65804141,3784.18599928,-1,0
76,3781,3782.10536094,3783.60672657,-1,0
77,3786,3783.40357396,3784.04186726,-1,0
78,3782,3782.93571597,3783.67061862,-1,0
79,3784,3783.29047731,3783.73050615,-1,0
80,3782,3782.86031821,3783.41586864,-1,0
81,3778,3781.24021214,3782.43116518,-1,0
82,3780,3780.82680809,3781.98913512,-1,0
83,3780,3780.5512054,3781.62747417,-1,0
84,3782,3781.03413693,3781.69520615,-1,0
85,3786,3782.68942462,3782.47789596,1,1
86,3779,3781.45961641,3781.84555123,-1,-1
87,3779,3780.63974428,3781.32817826,-1,0
88,3780,3780.42649618,3781.0866913,-1,0
89,3781,3780.61766412,3781.07092925,-1,0
90,3787,3782.74510942,3782.14894212,1,1
91,3783,3782.83007294,3782.30367992,1,0
92,3785,3783.55338196,3782.79391994,1,0
93,3786,3784.36892131,3783.37684359,1,0
94,3788,3785.57928087,3784.21741749,1,0
95,3787,3786.05285391,3784.72334158,1,0
96,3789,3787.03523594,3785.50091584,1,0
97,3791,3788.35682396,3786.50074933,1,0
98,3802,3792.90454931,3789.31879491,1,0
99,3801,3795.60303287,3791.44265039,1,0
100,3806,3799.06868858,3794.08944123,1,0
101,3803,3800.37912572,3795.70954283,1,0
102,3805,3801.91941715,3797.39871686,1,0
103,3808,3803.9462781,3799.32622289,1,0
104,3803,3803.63085207,3799.99418236,1,0
105,3796,3801.08723471,3799.26796739,1,0
106,3798,3800.05815647,3799.03742786,1,0
107,3793,3797.70543765,3797.9397137,-1,-1
108,3786,3793.8036251,3795.76885667,-1,0
109,3786,3791.20241673,3793.99270091,-1,0
110,3785,3789.13494449,3792.35766438,-1,0
111,3787,3788.42329633,3791.38354358,-1,0
112,3792,3789.61553088,3791.49562657,-1,0
113,3794,3791.07702059,3791.95096719,-1,0
114,3800,3794.05134706,3793.4144277,1,1
115,3796,3794.70089804,3793.88453176,1,0
116,3800,3796.46726536,3794.99643507,1,0
117,3801,3797.97817691,3796.08799233,1,0
118,3800,3798.65211794,3796.79926645,1,0
119,3803,3800.10141196,3797.92667255,1,0
120,3799,3799.73427464,3798.121823,1,0
121,3788,3795.82284976,3796.28149154,-1,-1
122,3792,3794.54856651,3795.50303854,-1,0
123,3780,3789.69904434,3792.68430426,-1,0
124,3776,3785.13269622,3789.65079439,-1,0
125,3784,3784.75513082,3788.62337723,-1,0
126,3783,3784.17008721,3787.60094501,-1,0
127,3783,3783.78005814,3786.76440955,-1,0
128,3787,3784.85337209,3786.80724418,-1,0
129,3783,3784.2355814,3786.11501796,-1,0
130,3785,3784.4903876,3785.91228742,-1,0
131,3786,3784.99359173,3785.92823517,-1,0
132,3782,3783.99572782,3785.21401059,-1,0
