,close,MA_Short,MA_Long,MA_True,MA_Cross,,,,,,5,10
0,3808,3808,3808,1,0,3808,0,3808,0,a,0.333333333,0.181818182
1,3818,3814,3813.5,1,0,3811.333333,-2.666666667,3809.818182,-3.681818182,1-a,0.666666667,0.818181818
2,3810,3812.105263,3812.093023,1,0,3810.888889,-1.216374271,3809.85124,-2.241783591,,,
3,3804,3808.738462,3809.426733,-1,-1,3808.592593,-0.145868947,3808.787378,-0.639354759,,,
4,3793,3802.696682,3804.711064,-1,0,3803.395062,0.698379268,3805.916946,1.205881074,,,
5,3799,3801.345865,3803.227704,-1,0,3801.930041,0.584176492,3804.659319,1.431615328,,,
6,3805,3802.639631,3803.654756,-1,0,3802.953361,0.313729878,3804.721261,1.06650511,,,
7,3804,3803.111499,3803.733301,-1,0,3803.302241,0.190741702,3804.590123,0.856822052,,,
8,3809,3805.126754,3804.87915,1,1,3805.201494,0.074739725,3805.391919,0.512768454,,,
9,3807,3805.762189,3805.324648,1,0,3805.800996,0.038807073,3805.684297,0.359649305,,,
10,3804,3805.167922,3805.054039,1,0,3805.200664,0.032741705,3805.378061,0.324022444,,,
11,3800,3803.431901,3804.044251,-1,-1,3803.467109,0.035207917,3804.400232,0.355980826,,,
12,3799,3801.946971,3803.05422,-1,0,3801.978073,0.031101865,3803.418372,0.364151863,,,
13,3793,3798.954396,3801.108996,-1,0,3798.985382,0.030985603,3801.524122,0.415126102,,,
14,3799,3798.969632,3800.705662,-1,0,3798.990255,0.020622279,3801.065191,0.359528418,,,
15,3802,3799.981295,3800.950886,-1,0,3799.993503,0.012207989,3801.235156,0.284270465,,,
16,3800,3799.987536,3800.772098,-1,0,3799.995669,0.008132326,3801.010582,0.238483996,,,
17,3803,3800.992371,3801.18841,-1,0,3800.997112,0.004741641,3801.372295,0.183884593,,,
18,3798,3799.994464,3800.595606,-1,0,3799.998075,0.00361124,3800.75915,0.163544596,,,
19,3788,3795.995106,3798.263348,-1,0,3795.998717,0.003610214,3798.439305,0.175956835,,,
20,3785,3792.329336,3795.815639,-1,0,3792.332478,0.003141749,3795.995795,0.180156146,,,
